cve,nombre,distrito,lat,lon,area,geometry_geojson
12-033,DIAMANTE,14,19.27086922839342,-99.19359927267315,4.8185278214141505e-06,"{""type"": ""Polygon"", ""coordinates"": [[[-99.19456758698142, 19.271857025303603], [-99.191946724199, 19.271310103072896], [-99.1930001296411, 19.26946818332669], [-99.1950657675491, 19.2701783005986], [-99.19456758698142, 19.271857025303603]]]}"
12-034,DOLORES TLALI,16,19.2417972937323,-99.14580347488551,1.4927787447149227e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.1441911203219, 19.2443612639192], [-99.1439040782804, 19.239734221206398], [-99.14610869685191, 19.239329248852492], [-99.148343591799, 19.243026849294395], [-99.1441911203219, 19.2443612639192]]]}"
12-035,EJIDOS DE SAN PEDRO MARTIR I (NORTE),16,19.27211312393411,-99.15697499352326,3.7949421264406387e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.1594470152178, 19.275485548663795], [-99.1548238183074, 19.2734555626007], [-99.15400114000511, 19.275495271894197], [-99.15253477058819, 19.274546770479397], [-99.1544644193271, 19.268912661993095], [-99.1611312016328, 19.270532680466403], [-99.1594470152178, 19.275485548663795]]]}"
12-219,EJIDOS DE SAN PEDRO MARTIR II (SUR),16,19.267446927121753,-99.15887205323787,3.782060952428837e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.16125654528912, 19.271659371227397], [-99.15338604840659, 19.268380590684995], [-99.153585082378, 19.267353439802196], [-99.1548480745783, 19.2659503988876], [-99.16340347812358, 19.264913580473102], [-99.16125654528912, 19.271659371227397]]]}"
12-036,EL ARENAL,19,19.20710840288072,-99.138188516225,2.5670086560670334e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.1393780111377, 19.209567560137796], [-99.1342029531565, 19.2091164930407], [-99.1368731064806, 19.2051015955769], [-99.1407195682866, 19.203309800662495], [-99.1414384616004, 19.20520645143041], [-99.1393780111377, 19.209567560137796]]]}"
12-037,EL DIVISADERO,16,19.25357758989413,-99.15889548702707,3.446822944499672e-06,"{""type"": ""Polygon"", ""coordinates"": [[[-99.15867726502981, 19.2527935084197], [-99.1603253586068, 19.253198670443698], [-99.1601006552433, 19.254521232040698], [-99.1572924684649, 19.2540290667108], [-99.15867726502981, 19.2527935084197]]]}"
12-039,EL ZACATON,14,19.26758015376191,-99.24279974235111,2.325435920491019e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.2411502285094, 19.270378249677194], [-99.24066267267, 19.2643848945909], [-99.2427202885933, 19.266537838653296], [-99.2459254183427, 19.266026571500294], [-99.2437319062591, 19.2710563871399], [-99.2411502285094, 19.270378249677194]]]}"
12-040,EMILIO PORTES GIL PEMEX PICACHO (U HAB),14,19.301828353781556,-99.21960035783478,2.85966657452257e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.21999219056973, 19.306364372587893], [-99.216927838721, 19.305851960905898], [-99.2190971367689, 19.2974555204371], [-99.221150289571, 19.296751313889693], [-99.2222855393127, 19.2976166629512], [-99.21999219056973, 19.306364372587893]]]}"
12-042,EX HACIENDA SAN JUAN DE DIOS,16,19.288091499821633,-99.13182017400348,3.0213450498118383e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.1358951819453, 19.287487820197008], [-99.1354206294488, 19.289470383401998], [-99.1315528501521, 19.291608450696696], [-99.1271410357508, 19.286860589885393], [-99.1346440674251, 19.285267359467593], [-99.1336415213363, 19.286928705581598], [-99.1358951819453, 19.287487820197008]]]}"
12-043,FLORESTA-PRADO-VERGEL COAPA,16,19.30307178064077,-99.12844150009859,3.392220227770936e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.1319035789431, 19.3042124441959], [-99.1319630930355, 19.306981731327195], [-99.1245176589062, 19.303824468560595], [-99.1249307928313, 19.300272550360795], [-99.1295264939405, 19.299853328205398], [-99.1289966072859, 19.301599737263494], [-99.13159776461978, 19.301993750571295], [-99.1319035789431, 19.3042124441959]]]}"
12-045,FOVISSSTE SAN PEDRO MARTIR ( U HAB),16,19.27452958916894,-99.16068715485916,3.785767225144105e-06,"{""type"": ""Polygon"", ""coordinates"": [[[-99.16070219081172, 19.275962093821995], [-99.1594470152178, 19.275485548663795], [-99.1609108447548, 19.272675780067296], [-99.16165588521251, 19.2749692004494], [-99.16070219081172, 19.275962093821995]]]}"
12-046,FRESNO,14,19.277764835034567,-99.18999571627563,2.7231682064209793e-06,"{""type"": ""Polygon"", ""coordinates"": [[[-99.1909783965319, 19.2782922586182], [-99.1900417814203, 19.279057251814596], [-99.1888845597045, 19.2771047905921], [-99.190642826222, 19.277192282492592], [-99.1909783965319, 19.2782922586182]]]}"
12-047,FUENTES BROTANTES MIGUEL HIDALGO (U HAB),16,19.281753712613266,-99.18571957120815,4.055614862891618e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.1917852538615, 19.279748525381596], [-99.18027019611861, 19.2883178269658], [-99.17848190586702, 19.2875381974927], [-99.1839093367994, 19.2837750674021], [-99.18323223038568, 19.281898995374096], [-99.18704420826771, 19.276944192908296], [-99.1917852538615, 19.279748525381596]]]}"
12-049,FUENTES DEL PEDREGAL,14,19.30385045213001,-99.21955456170876,0.00017753911862267757,"{""type"": ""Polygon"", ""coordinates"": [[[-99.2240413170573, 19.310913034753998], [-99.21885643435202, 19.310666286087496], [-99.2150634387432, 19.307468799144303], [-99.2037729251526, 19.3049909050813], [-99.208962998843, 19.300286948150305], [-99.2082698828785, 19.3024930520604], [-99.2109585567347, 19.303971802839403], [-99.2160051277894, 19.294652128515303], [-99.2183743665685, 19.2947384197053], [-99.2196776063706, 19.2957311970143], [-99.21696992833841, 19.3061306519558], [-99.2201113267277, 19.306333599201295], [-99.22066354338881, 19.303857395348196], [-99.2271914144101, 19.3026026745275], [-99.2268582007634, 19.298810913421097], [-99.2332371290297, 19.300785467382497], [-99.23128053487709, 19.305223561247995], [-99.2252417778052, 19.30987201458099], [-99.22490249679728, 19.307888926706795], [-99.2231492084319, 19.3097356601892], [-99.2240413170573, 19.310913034753998]]]}"
12-048,FUENTES Y PEDREGAL DE TEPEPAN,16,19.270180106745517,-99.14917082246518,4.422151002387322e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.1472991220273, 19.266777091962297], [-99.1520771777455, 19.2671914761661], [-99.1518294043443, 19.2698563875601], [-99.1537502404901, 19.2697167703654], [-99.15253477058819, 19.274546770479397], [-99.14902208357802, 19.273998956646196], [-99.1498199174082, 19.271458672110494], [-99.14290666569, 19.269386797618097], [-99.1431504784033, 19.267357152021894], [-99.1472991220273, 19.266777091962297]]]}"
12-050,GRANJAS COAPA,16,19.295283240930168,-99.11428028841785,3.458548371157292e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.11503429790619, 19.295146598714], [-99.11403173382341, 19.2980234655655], [-99.1152747474614, 19.298148209287998], [-99.1158703483095, 19.301100183902598], [-99.11147315035632, 19.300055372855095], [-99.11351614922378, 19.2948797205886], [-99.112930600967, 19.2902690674132], [-99.11467907610731, 19.289506097458997], [-99.11760481913392, 19.293995420047796], [-99.11503429790619, 19.295146598714]]]}"
12-051,GRANJAS COAPA ORIENTE,16,19.29645292653825,-99.10828770396269,1.830186614147832e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.1074984444108, 19.2995514091868], [-99.1069828883882, 19.299578064879995], [-99.1058242607507, 19.293431325889202], [-99.11036821739361, 19.294291512469105], [-99.1094650755264, 19.299612278386604], [-99.1074984444108, 19.2995514091868]]]}"
12-053,HACIENDA SAN JUAN-RINCON DE SAN JUAN-CHIMALI,16,19.28949439877015,-99.1431131066863,5.0653337938041094e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.1413625387448, 19.293598441922793], [-99.1396022579928, 19.2901587729132], [-99.1405571234125, 19.283688744674695], [-99.1391649761735, 19.282376275057505], [-99.1474285207938, 19.289172935297692], [-99.14510382495538, 19.2946901982864], [-99.1413625387448, 19.293598441922793]]]}"
12-055,HEROES DE 1910,19,19.248269499084042,-99.23245696842385,0.00010479368556477093,"{""type"": ""Polygon"", ""coordinates"": [[[-99.24180490286211, 19.246035434382495], [-99.24232838911631, 19.2473613646467], [-99.2329356036509, 19.2493640134011], [-99.2312885701632, 19.254906457419196], [-99.22596678968559, 19.2539736186285], [-99.2254458162726, 19.251590415571105], [-99.22790385483492, 19.2498283648586], [-99.22384299251043, 19.246611253467], [-99.24033320727779, 19.24321567799589], [-99.24180490286211, 19.246035434382495]]]}"
12-209,HEROES DE PADIERNA I,14,19.285902975121395,-99.22405203639882,6.548461137076502e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.2272625447205, 19.2817171748619], [-99.2274195069026, 19.283129559561804], [-99.22940584283089, 19.2830043016705], [-99.2297046460377, 19.288576829401695], [-99.2175930818017, 19.289514910433695], [-99.2176481394942, 19.283883759211697], [-99.2193214274257, 19.2837169138616], [-99.2191807139333, 19.2823389828597], [-99.22042357482621, 19.282258362459], [-99.22202620046971, 19.2863511578706], [-99.2239217469233, 19.286203781335796], [-99.22344883653481, 19.280702981932397], [-99.2272625447205, 19.2817171748619]]]}"
12-210,HEROES DE PADIERNA II,14,19.280747458505434,-99.22006635474423,6.783596990796204e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.2272625447205, 19.2817171748619], [-99.22344883653481, 19.280702981932397], [-99.2239217469233, 19.286203781335796], [-99.22202620046971, 19.2863511578706], [-99.22042357482621, 19.282258362459], [-99.2176481394942, 19.283883759211697], [-99.2123549151801, 19.279470221262503], [-99.21354958796421, 19.278523130968203], [-99.21281189821269, 19.276424530599996], [-99.22706156023891, 19.2791775356641], [-99.2272625447205, 19.2817171748619]]]}"
12-057,HUESO PERIFERICO-ISSSFAM NO. 7 (U HABS),16,19.29727440775351,-99.10252974247358,1.480583175873017e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.10381921561331, 19.2939267980565], [-99.103881544627, 19.2998480729656], [-99.10089702459588, 19.300015493725397], [-99.10131523055269, 19.294957912090798], [-99.10381921561331, 19.2939267980565]]]}"
12-059,IGNACIO CHAVEZ (U HAB),16,19.29688606293424,-99.1043494595268,5.929936659843435e-06,"{""type"": ""Polygon"", ""coordinates"": [[[-99.104686998501, 19.293787731798698], [-99.1049827601848, 19.299694907809002], [-99.103881544627, 19.2998480729656], [-99.10381921561331, 19.2939267980565], [-99.104686998501, 19.293787731798698]]]}"
12-061,ISIDRO  FABELA (AMPL),16,19.29814373223156,-99.170822489151,5.887993856972447e-06,"{""type"": ""Polygon"", ""coordinates"": [[[-99.1746412912055, 19.2979090713588], [-99.1746884888185, 19.298542302005398], [-99.16791705903961, 19.2988122479945], [-99.16868605293229, 19.296836514274993], [-99.1694344945248, 19.298009884321797], [-99.1746412912055, 19.2979090713588]]]}"
12-060,ISIDRO FABELA I (PONIENTE),16,19.301245659389508,-99.17967025198097,4.46278158615207e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.1740597966074, 19.2985493517432], [-99.17930789545079, 19.301157774635698], [-99.1795025414148, 19.2987298731329], [-99.1855941944679, 19.2996106238895], [-99.18597660464918, 19.302870011397292], [-99.1740864020318, 19.302890005861702], [-99.1740597966074, 19.2985493517432]]]}"
12-220,ISIDRO FABELA II (ORIENTE),16,19.300550898476352,-99.17043988216224,2.855867177352421e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.1740864020318, 19.302890005861702], [-99.1660177682302, 19.301786377297898], [-99.1660936051854, 19.2993999432099], [-99.1740597966074, 19.2985493517432], [-99.1740864020318, 19.302890005861702]]]}"
12-062,ISSSFAM No. 1 (U HAB)-VILLA TLALPAN,16,19.2782769569173,-99.16246288134296,1.610509337541931e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.1653304704087, 19.2768705557546], [-99.16293361859148, 19.2814564973468], [-99.1607684962664, 19.2808850741113], [-99.16231093514959, 19.2786579867632], [-99.1596575869768, 19.277525492790396], [-99.16067154800601, 19.275753107770203], [-99.1634604673889, 19.2761437135202], [-99.16289227644211, 19.277510052154106], [-99.1653304704087, 19.2768705557546]]]}"
12-064,JARDINES COAPA-BELISARIO DOMINGUEZ,16,19.304290211682073,-99.13325198549369,1.2450084457572674e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.13163170321762, 19.301989894357497], [-99.13496710565141, 19.302429988481595], [-99.1328172148082, 19.307354241251], [-99.1319630930355, 19.306981731327195], [-99.13163170321762, 19.301989894357497]]]}"
